Year i_index j_index k_index x_coord_m y_coord_m z_coord_m Gas_Saturation
2030-Jan-01 8 10 13 17828.5 19255.9 1067.04 1e-06
2030-Jan-01 9 10 13 17994.5 19255.9 1068.65 1e-06
2030-Jan-01 10 10 13 18160.6 19255.9 1069.24 1e-06
2030-Jan-01 11 10 13 18326.7 19255.9 1058.57 1e-06
2030-Jan-01 12 10 13 18492.7 19255.9 1048.23 1e-06
2030-Jan-01 13 10 13 18658.8 19255.9 1047.87 1e-06
2030-Jan-01 14 10 13 18824.9 19255.9 1046.01 1e-06
2030-Jan-01 15 10 13 18990.9 19255.9 1046.31 1e-06
2030-Jan-01 16 10 13 19157 19255.9 1050.69 1e-06
2030-Jan-01 17 10 13 19323.1 19255.9 1055.29 1e-06
2030-Jan-01 18 10 13 19489.1 19255.9 1057.58 1e-06
2030-Jan-01 19 10 13 19655.2 19255.9 1050.59 1e-06
2030-Jan-01 20 10 13 19821.3 19255.9 1038.29 1e-06
2030-Jan-01 21 10 13 19987.3 19255.9 1028.6 1e-06
2030-Jan-01 22 10 13 20153.4 19255.9 1023.75 1e-06
2030-Jan-01 23 10 13 20319.5 19255.9 1023.31 1e-06
2030-Jan-01 24 10 13 20485.5 19255.9 1030.76 1e-06
2030-Jan-01 25 10 13 20651.6 19255.9 1043.96 1e-06
2030-Jan-01 26 10 13 20817.7 19255.9 1058.01 1e-06
2030-Jan-01 27 10 13 20983.7 19255.9 1065.38 1e-06
2030-Jan-01 28 10 13 21149.8 19255.9 1064.46 1e-06
2030-Jan-01 29 10 13 21315.9 19255.9 1064.47 1e-06
2030-Jan-01 30 10 13 21481.9 19255.9 1063.7 1e-06
2030-Jan-01 31 10 13 21648 19255.9 1063.88 1e-06
2030-Jan-01 32 10 13 21814.1 19255.9 1065.14 1e-06
2030-Jan-01 33 10 13 21980.1 19255.9 1066.21 1e-06
2030-Jan-01 34 10 13 22146.2 19255.9 1065.38 -9999
2030-Jan-01 35 10 13 22312.3 19255.9 1065.35 -9999
2030-Jan-01 36 10 13 22478.3 19255.9 1068.75 -9999
2030-Jan-01 37 10 13 22644.4 19255.9 1069.42 -9999
2030-Jan-01 38 10 13 22810.5 19255.9 1064.25 -9999
2030-Jan-01 1 11 13 16666 19413.1 1046.79 -9999
2030-Jan-01 2 11 13 16832.1 19413.1 1045.81 1e-06
2030-Jan-01 3 11 13 16998.1 19413.1 1046.55 1e-06
2030-Jan-01 4 11 13 17164.2 19413.1 1048.05 1e-06
2030-Jan-01 5 11 13 17330.3 19413.1 1054.17 1e-06
2030-Jan-01 6 11 13 17496.3 19413.1 1061.56 1e-06
2030-Jan-01 7 11 13 17662.4 19413.1 1064.57 1e-06
2030-Jan-01 8 11 13 17828.5 19413.1 1067.17 1e-06
2030-Jan-01 9 11 13 17994.5 19413.1 1066.9 1e-06
2030-Jan-01 10 11 13 18160.6 19413.1 1061.67 1e-06
2030-Jan-01 11 11 13 18326.7 19413.1 1049.8 1e-06
2030-Jan-01 12 11 13 18492.7 19413.1 1042.65 1e-06
2030-Jan-01 13 11 13 18658.8 19413.1 1045.88 1e-06
2030-Jan-01 14 11 13 18824.9 19413.1 1042.05 1e-06
2030-Jan-01 15 11 13 18990.9 19413.1 1037.56 1e-06
2030-Jan-01 16 11 13 19157 19413.1 1044.77 1e-06
2030-Jan-01 17 11 13 19323.1 19413.1 1052.24 1e-06
2030-Jan-01 18 11 13 19489.1 19413.1 1053.7 1e-06
